PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
4151,3,1490,4,3,0,0,0,0,1,0,0,0
738,2,1295,1,3,0,1,0,1,1,0,0,1
531,1,1281,1,2,0,1,0,1,1,0,0,1
7449,2,650,6,1,1,0,0,0,0,0,0,1
7555,4,1135,6,2,1,5,5,5,5,5,5,5
7420,4,1950,6,3,0,1,1,1,1,0,0,0
5707,2,1350,5,3,0,5,5,5,5,5,5,5
5769,2,1239,5,3,0,5,5,5,5,5,5,5
874,3,1798,1,3,0,1,1,1,1,1,0,0
6116,3,1050,6,2,1,0,0,0,0,0,0,0
1602,3,1469,2,3,0,0,0,1,1,0,0,0
1960,2,900,3,3,0,0,0,0,0,0,0,0
2129,4,2000,3,4,1,0,0,0,1,0,0,0
74,3,1245,1,2,0,0,0,1,0,0,0,0
4805,3,1350,5,3,1,5,5,5,5,5,5,5
6725,4,1350,6,2,1,0,1,0,0,0,1,0
7688,3,610,6,2,1,5,5,5,5,5,5,5
902,4,2772,1,3,0,1,0,1,1,0,1,1
4082,1,1025,4,2,0,0,0,0,0,0,0,0
5278,3,2520,5,4,0,5,5,5,5,5,5,5
2781,1,540,3,2,1,0,0,0,0,0,0,0
780,3,1417,1,2,0,1,0,1,1,0,0,1
6741,2,1065,6,2,1,0,1,0,0,0,1,0
5572,1,700,5,2,1,5,5,5,5,5,5,5
7124,3,1065,6,2,1,0,0,0,0,0,0,0
4670,1,750,5,2,0,5,5,5,5,5,5,5
2826,1,630,3,3,1,0,0,0,0,0,0,0
769,2,1290,1,3,0,0,0,1,1,0,0,1
1472,2,1050,2,2,0,0,0,0,0,0,0,0
6484,4,1650,6,3,1,0,1,0,0,0,0,1
7336,4,730,6,2,1,0,0,0,0,0,0,0
4601,1,874,5,2,0,5,5,5,5,5,5,5
5843,3,770,5,2,0,5,5,5,5,5,5,5
5009,2,2110,5,2,1,5,5,5,5,5,5,5
6427,2,599,6,1,1,0,0,1,0,0,1,0
5602,1,1987,5,4,0,5,5,5,5,5,5,5
180,3,1760,1,3,0,1,0,1,1,0,0,1
709,2,1242,1,2,0,1,0,1,1,0,0,1
7465,3,1340,6,3,0,0,1,0,0,0,0,0
3110,1,1050,4,3,0,0,0,0,0,0,0,0
5345,3,2000,5,4,0,5,5,5,5,5,5,5
7295,2,488,6,1,1,0,0,0,0,0,0,0
3509,4,1908,4,3,0,1,0,0,1,0,0,0
198,2,1065,1,2,0,1,1,1,1,0,0,1
7253,4,1335,6,2,1,0,1,0,0,0,0,0
6592,1,500,6,1,1,0,0,0,0,0,1,0
4952,2,1464,5,2,1,5,5,5,5,5,5,5
3126,4,1665,4,3,1,0,0,0,1,0,0,0
1728,1,720,2,2,0,0,0,0,0,0,0,0
6229,3,1415,6,3,1,1,1,0,0,0,0,1
1872,4,2000,3,4,1,0,0,0,1,0,0,0
4674,4,1412,5,3,1,5,5,5,5,5,5,5
1948,3,581,3,1,0,0,0,0,0,0,1,1
3992,4,1925,4,3,0,1,0,0,1,0,0,1
5563,4,1200,5,3,1,5,5,5,5,5,5,5
4956,2,1768,5,3,1,5,5,5,5,5,5,5
5614,2,1021,5,2,0,5,5,5,5,5,5,5
4294,3,1511,4,2,0,1,1,1,1,0,0,1
4349,1,710,5,2,1,0,0,0,1,0,0,0
6752,1,275,6,1,1,0,1,0,0,0,1,0
3459,4,1840,4,3,0,1,0,0,1,0,0,0
1841,4,1550,3,3,1,0,0,0,1,0,0,0
6391,4,1412,6,3,1,1,1,0,0,1,0,0
710,2,1110,1,2,0,1,0,1,1,0,0,1
7310,4,2195,6,3,0,1,1,0,1,0,0,0
597,1,1210,1,3,0,0,0,1,1,0,0,0
3585,3,1435,4,3,0,1,0,0,1,0,0,0
1062,4,1385,1,2,0,1,0,1,1,0,1,0
4613,1,835,5,2,0,5,5,5,5,5,5,5
3190,3,2100,4,3,0,0,0,0,1,0,0,0
3735,4,1900,4,3,0,0,0,0,1,0,1,0
6316,4,1465,6,3,0,1,1,1,1,0,0,1
5215,1,1893,5,3,0,5,5,5,5,5,5,5
6804,4,950,6,2,1,0,0,0,0,0,0,0
2186,2,950,3,3,1,0,0,0,0,0,0,0
3473,4,1860,4,3,0,1,0,0,1,0,0,0
6383,4,2880,6,3,1,0,0,0,0,0,0,0
3526,4,2000,4,3,0,1,0,1,1,0,0,1
5476,2,997,5,2,1,5,5,5,5,5,5,5
3181,1,910,4,2,0,1,0,0,0,0,0,0
6319,4,1450,6,3,0,0,1,0,0,0,0,0
5241,3,907,5,2,0,5,5,5,5,5,5,5
5704,4,950,5,2,1,5,5,5,5,5,5,5
4630,1,1525,5,3,1,5,5,5,5,5,5,5
7587,4,550,6,1,1,5,5,5,5,5,5,5
6044,1,750,5,2,0,5,5,5,5,5,5,5
5176,3,2210,5,4,0,5,5,5,5,5,5,5
5732,1,910,5,2,0,5,5,5,5,5,5,5
5139,1,815,5,2,0,5,5,5,5,5,5,5
7543,4,620,6,1,1,5,5,5,5,5,5,5
6838,4,764,6,2,1,0,0,0,0,0,0,0
1189,1,721,2,2,0,0,0,0,0,0,0,0
2700,4,1750,3,3,1,0,0,0,1,0,0,0
5094,2,2321,5,4,0,5,5,5,5,5,5,5
2531,4,2000,3,3,1,0,0,0,1,0,0,1
5849,1,1562,5,3,0,5,5,5,5,5,5,5
